Nearest Neighbors,RBF SVM,Decision Tree,Random Forest,Naive Bayes,Linear SVM
0.74,0.68,0.78,0.7,0.78,0.8
0.58,0.7,0.6,0.72,0.78,0.74
0.76,0.7,0.72,0.72,0.7,0.74
0.68,0.7,0.72,0.72,0.74,0.8
0.74,0.7,0.72,0.7,0.64,0.74
0.66,0.7,0.76,0.7,0.82,0.82
0.66,0.7,0.76,0.74,0.7,0.84
0.66,0.7,0.64,0.72,0.66,0.7
0.66,0.7,0.76,0.7,0.82,0.74
0.72,0.7,0.8,0.7,0.76,0.78
0.62,0.7,0.7,0.74,0.54,0.7
0.6,0.7,0.7,0.7,0.74,0.72
0.74,0.7,0.78,0.7,0.74,0.78
0.72,0.7,0.64,0.68,0.68,0.72
0.72,0.7,0.76,0.7,0.64,0.76
0.72,0.7,0.7,0.66,0.68,0.74
0.68,0.7,0.82,0.7,0.78,0.8
0.72,0.7,0.82,0.7,0.82,0.8
0.78,0.7,0.78,0.76,0.74,0.76
0.56,0.7,0.62,0.72,0.62,0.64
