Nearest Neighbors,RBF SVM,Decision Tree,Random Forest,Naive Bayes,Linear SVM
0.9428571428571428,0.8857142857142857,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.9428571428571428
0.9714285714285714,0.8571428571428571,1.0,1.0,1.0,1.0
1.0,0.8857142857142857,0.9428571428571428,1.0,0.9714285714285714,1.0
0.9142857142857143,0.8285714285714286,0.9142857142857143,0.9428571428571428,0.9428571428571428,0.9428571428571428
0.9705882352941176,0.7941176470588235,0.9411764705882353,0.9411764705882353,0.9705882352941176,0.9705882352941176
0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9117647058823529,0.9117647058823529,0.8823529411764706
1.0,0.8823529411764706,0.9117647058823529,1.0,0.9705882352941176,0.9705882352941176
1.0,0.8823529411764706,0.9705882352941176,0.9705882352941176,0.9411764705882353,0.9705882352941176
1.0,0.8823529411764706,0.9411764705882353,1.0,1.0,1.0
0.9705882352941176,0.8823529411764706,0.9705882352941176,1.0,0.9705882352941176,1.0
1.0,0.9117647058823529,1.0,0.9705882352941176,1.0,0.9411764705882353
0.9705882352941176,0.8235294117647058,0.9411764705882353,0.9705882352941176,0.9705882352941176,0.9705882352941176
1.0,0.8235294117647058,0.9705882352941176,1.0,0.9705882352941176,0.9705882352941176
0.9411764705882353,0.8529411764705882,0.9705882352941176,0.9705882352941176,0.9117647058823529,0.9705882352941176
0.9117647058823529,0.7352941176470589,0.8823529411764706,0.9411764705882353,0.8529411764705882,0.9117647058823529
0.9705882352941176,0.9117647058823529,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9705882352941176
1.0,0.9411764705882353,0.9705882352941176,0.9411764705882353,1.0,0.9705882352941176
0.9705882352941176,0.9117647058823529,0.9411764705882353,0.9705882352941176,0.9705882352941176,0.9705882352941176
0.9411764705882353,0.9117647058823529,0.9705882352941176,0.9411764705882353,0.9705882352941176,0.9705882352941176
0.9696969696969697,0.8787878787878788,0.9393939393939394,0.9393939393939394,1.0,0.9696969696969697
